title,artist,album,duration,genre,composer,time_secs,bit_rate,year,key,tempo,num_beats,file_name
Dizzy Miss Lizzie,The Beatles,Help!,176.22562379975915,Classic Rock,,176.22562379975915,192.0 kbps,1996,A,135.99917763157896,384,Dizzy Miss Lizzie.mp3
Cool,Gwen Stefanie,Billboard Top 100 Songs of 2005,189.33551020408163,Alternative,,189.33551020408163,256.0 kbps,2005,D,112.34714673913044,344,76 Cool.m4a
Honor to Us All,Beth Fowler,Mulan (Original Motion Picture Soundtrack),183.2518820861678,Disney,,183.2518820861678,256.0 kbps,1998,G,172.265625,479,Honor to Us All.m4a
Good Day Sunshine,The Beatles,Revolver,129.35836734693876,Classic Rock,,129.35836734693876,256.0 kbps,1996,B,117.45383522727273,230,Good Day Sunshine.m4a
Learn To Fly,Foo Fighters,Foo Fighters: Greatest Hits,234.86984126984126,Alternative,,234.86984126984126,256.0 kbps,None,B,67.99958881578948,260,Learn To Fly.m4a
Friend Like You,Joshua Radin,Simple Times,140.45750566893423,Indie,,140.45750566893423,256.0 kbps,2008,B,117.45383522727273,262,04 Friend Like You.m4a
Opera Singer,Cake,Comfort Eagle,246.3869387755102,Alternative,John McCrea/M. Kornweibel,246.3869387755102,256.0 kbps,2002,B,95.703125,384,01 Opera Singer.m4a
The Valley (Reprise),The Oh Hellos,"Through the Deep, Dark Valley",175.65895691609978,Singer/Songwriter,,175.65895691609978,256.0 kbps,2012,C#,80.74951171875,224,11 The Valley (Reprise).m4a
Runaway,Ed Sheeran,x (Deluxe Edition),205.19473922902495,Singer/Songwriter,,205.19473922902495,256.0 kbps,2014,G#,95.703125,315,Runaway.m4a
Lovesong,Adele,21,316.3022222222222,Singer/Songwriter,Porl Thompson/Robert Smith/Simon Gallup/Laurence Tolhurst/Roger O'Donnell/Boris Williams,316.3022222222222,256.0 kbps,2011,D#,117.45383522727273,599,10 Lovesong.m4a
Holiday Rap,Mc Miker G & DJ Sven,Banzai,266.7972789115646,Alternative,,266.7972789115646,256.0 kbps,None,A,117.45383522727273,512,Holiday Rap.m4a
This Feeling,IYES & Ryan Riback,This Feeling - Single,201.06327247145268,,,201.06327247145268,192.0 kbps,None,A#,117.45383522727273,361,This Feeling.mp3
Thrills,CAKE,B-Sides And Rarities ,179.02585034013606,Alternative,Cake,179.02585034013606,256.0 kbps,2007,B,184.5703125,543,09 Thrills.m4a
You Can't Stop,Spitalfield,Amped 2 Soundtrack,242.9097366793607,Amped 2,,242.9097366793607,192.0 kbps,2004,D#,89.10290948275862,352,04 You Can't Stop.mp3
Mr. Lonely,Akon,Billboard Top 100 Songs of 2005,235.8682993197279,R&B/Soul,,235.8682993197279,256.0 kbps,2005,G#,89.10290948275862,351,44 Mr. Lonely.m4a
Illusion (feat. Echosmith),Zedd,True Colors,391.0240362811791,Dance,,391.0240362811791,256.0 kbps,None,B,129.19921875,719,Illusion (feat. Echosmith).m4a
Youth (Adventure Club Remix),Foxes,Youth (The Remixes),240.53551020408165,Pop,,240.53551020408165,128.00518299304952 kbps,None,G,143.5546875,543,Youth (Adventure Club Remix).mp3
Wastin' Time,Kris Allen,Kris Allen,200.49104579630892,Singer/Songwriter,,200.49104579630892,192.0 kbps,None,F#,123.046875,388,Wastin' Time.mp3
Ever The Same,Rob Thomas,...something to be,256.65015873015875,Alternative,,256.65015873015875,256.0 kbps,2005,B,95.703125,381,03 Ever The Same.m4a
Turn My Swag On,Soulja Boy Tell 'Em,iSouljaBoyTellem,206.4021768707483,Hip Hop/Rap,,206.4021768707483,256.0 kbps,2008,B,151.99908088235293,515,03 Turn My Swag On.m4a
I Found Love,Owl City,Mobile Orchestra,219.80009070294784,Christian & Gospel,,219.80009070294784,256.0 kbps,None,G#,129.19921875,412,I Found Love.m4a
Diggin' Your Scene,Smash Mouth,Astro Lounge,189.14975056689343,Alternative,,189.14975056689343,256.0 kbps,1999,G#,143.5546875,443,02 Diggin' Your Scene.m4a
Animals,Maroon 5,V (Deluxe Version),231.13142857142856,Pop,,231.13142857142856,256.0 kbps,None,B,95.703125,357,Animals.m4a
Red Flag,Billy Talent,Billy Talent II,198.22875283446712,Rock,Billy Talent,198.22875283446712,256.0 kbps,2006,C,92.28515625,292,02 Red Flag.m4a
Boyfriend,Justin Bieber,Boyfriend,171.38648526077097,Pop,,171.38648526077097,256.0 kbps,None,C#,95.703125,270,Boyfriend.m4a
One Of The Brightest Stars,James Blunt,All The Lost Souls,191.40208616780046,Indie,James Blunt & Steve McEwan,191.40208616780046,256.0 kbps,2007,E,78.30255681818181,233,02 One Of The Brightest Stars.m4a
Don't Stand So Close To Me,The Police,Every Breath You Take,288.0449122807018,Classic Rock,,288.0449122807018,192.0 kbps,1995,D,123.046875,590,05 Don't Stand So Close To Me.mp3
It's the Most Wonderful Time of the Year,Pentatonix,That's Christmas to Me,185.1094784580499,Christmas,,185.1094784580499,256.0 kbps,2014,A,95.703125,280,It's the Most Wonderful Time of the Year.m4a
